parts,strength
Concrete,79
Steel,88
Brick,55
Wood,92
Glass,35
Roofing,69
Insulation,88
Asphalt,77
Plaster,54
Insulation material,58
Rebar,67
Tile,77
Stone,12
Cement,91
Wallpaper,70
Ceiling material,1
Drywall,18
Non-ferrous metal,85
Aluminum,81
Steel frame,53
Plywood,77
PVC (Plastic),83
Wire,51
Soil,29
Steel frame structure,54
Asphalt shingles,7
Concrete blocks,64
Fiberglass,82
Fasteners,43
Metal mesh,73
Adhesive,9
Oil paint,9
Brick mortar,28
Iron railing,73
Door frame,2
Insulation crafts,36
Scaffolding,3
Concrete mixer,70
Ladder,8
Ceiling molding material,78
Rebar tie,52
Jackhammer,3
Ceiling grid,82
Scale,83
Window casing,79
Brickwork,6
Ceiling panel,56
Blinds,94
Corner bead,58
Joint compound,30
Wire mesh,49
Radiator,53
Rebar ceiling grid,88
Drywall screws,11
Hydraulic push,34
Door handle,82
Plumbing,100
Metal base,39
Wire cable,40
Block wall,14
Reinforced concrete block,2
Outlet box,4
Wooden ladder,33
Roof bumper,88
Steel roof truss,98
Meter box,97
Roofing,87
Gypsum base,14
Building paper,24
Countertop,20
Projection base,19
Exterior brick,6
Control point,37
Door frame,17
Building trim,35
Ceramic tile,59
Projection window,21
Hasp,27
Conduit box,14
Building tag,43
Vinyl flooring,43
Rebar drawing,90
Door stop,17
Rebar installation,20
Spray art,42
Faucet,69
Brick wall,1
Ironwork,86
Air filter,57
Scale,88
Slab,90
Cliff,75
Curtain wall,91
Roofing wave board,27
Vinyl ceiling,81
Tile joint material,29
Sink,14
Building frame,28
Ladder rack,79
Stair runner,59
