parts,strength
Concrete,36
Steel,45
Brick,71
Wood,11
Glass,32
Roofing,71
Insulation,96
Asphalt,81
Plaster,37
Insulation material,83
Rebar,35
Tile,100
Stone,37
Cement,3
Wallpaper,9
Ceiling material,25
Drywall,96
Non-ferrous metal,31
Aluminum,93
Steel frame,10
Plywood,76
PVC (Plastic),99
Wire,48
Soil,77
Steel frame structure,28
Asphalt shingles,63
Concrete blocks,26
Fiberglass,31
Fasteners,12
Metal mesh,34
Adhesive,84
Oil paint,92
Brick mortar,34
Iron railing,52
Door frame,99
Insulation crafts,50
Scaffolding,92
Concrete mixer,34
Ladder,57
Ceiling molding material,63
Rebar tie,51
Jackhammer,21
Ceiling grid,47
Scale,43
Window casing,18
Brickwork,50
Ceiling panel,60
Blinds,12
Corner bead,22
Joint compound,5
Wire mesh,61
Radiator,24
Rebar ceiling grid,59
Drywall screws,60
Hydraulic push,62
Door handle,67
Plumbing,27
Metal base,91
Wire cable,60
Block wall,88
Reinforced concrete block,22
Outlet box,41
Wooden ladder,35
Roof bumper,73
Steel roof truss,76
Meter box,91
Roofing,39
Gypsum base,8
Building paper,18
Countertop,9
Projection base,23
Exterior brick,12
Control point,85
Door frame,86
Building trim,3
Ceramic tile,8
Projection window,98
Hasp,27
Conduit box,73
Building tag,61
Vinyl flooring,30
Rebar drawing,64
Door stop,91
Rebar installation,66
Spray art,98
Faucet,13
Brick wall,83
Ironwork,85
Air filter,29
Scale,97
Slab,91
Cliff,58
Curtain wall,57
Roofing wave board,46
Vinyl ceiling,99
Tile joint material,44
Sink,100
Building frame,47
Ladder rack,58
Stair runner,49
